rgn_id,species,year,tonnes
1,Thunnus alalunga,2015,1529
1,Thunnus alalunga,2014,1738
1,Thunnus alalunga,2013,1565
1,Thunnus alalunga,2012,1684
1,Thunnus alalunga,2011,1669
1,Thunnus albacares,2015,807
1,Thunnus albacares,2014,705
1,Thunnus albacares,2013,500
1,Thunnus albacares,2012,549
1,Thunnus albacares,2011,596
1,Thunnus obesus,2015,59
1,Thunnus obesus,2014,58
1,Thunnus obesus,2013,57
1,Thunnus obesus,2012,50
1,Thunnus obesus,2011,48
1,Xiphias gladius,2015,9
1,Xiphias gladius,2014,12
1,Xiphias gladius,2013,8
1,Xiphias gladius,2012,11
1,Xiphias gladius,2011,12
1,Kajikia audax,2015,53
1,Kajikia audax,2014,48
1,Kajikia audax,2013,44
1,Kajikia audax,2012,58
1,Kajikia audax,2011,73
1,Makaira mazara,2015,21
1,Makaira mazara,2014,41
1,Makaira mazara,2013,17
1,Makaira mazara,2012,16
1,Makaira mazara,2011,27
1,Istiompax indica,2015,32
1,Istiompax indica,2014,35
1,Istiompax indica,2013,35
1,Istiompax indica,2012,43
1,Istiompax indica,2011,48
1,Acanthocybium solandri,2015,24
1,Acanthocybium solandri,2014,41
1,Acanthocybium solandri,2013,36
1,Acanthocybium solandri,2012,35
1,Acanthocybium solandri,2011,51
1,Lampris guttatus,2015,53
1,Lampris guttatus,2014,99
1,Lampris guttatus,2013,79
1,Lampris guttatus,2012,75
1,Lampris guttatus,2011,73
1,Coryphaena hippurus,2015,98
1,Coryphaena hippurus,2014,150
1,Coryphaena hippurus,2013,91
1,Coryphaena hippurus,2012,95
1,Coryphaena hippurus,2011,117
1,Istiophorus platypterus,2015,6
1,Istiophorus platypterus,2014,6
1,Istiophorus platypterus,2013,5
1,Istiophorus platypterus,2012,5
1,Istiophorus platypterus,2011,7
1,Tetrapturus angustirostris,2015,11
1,Tetrapturus angustirostris,2014,15
1,Tetrapturus angustirostris,2013,13
1,Tetrapturus angustirostris,2012,9
1,Tetrapturus angustirostris,2011,13
1,other,2015,6
1,other,2014,3
1,other,2013,4
1,other,2012,4
1,other,2011,10
1,Holothuroidea (class),2015,3
1,Holothuroidea (class),2014,7
1,Holothuroidea (class),2013,4
1,Holothuroidea (class),2012,7
1,Holothuroidea (class),2011,16
1,Panulirus (genus),2015,0
1,Panulirus (genus),2014,0.7
1,Panulirus (genus),2013,0
1,Panulirus (genus),2012,1
1,Panulirus (genus),2011,1.2
1,Pagrus auratus,2015,0
1,Pagrus auratus,2014,0
1,Pagrus auratus,2013,0
1,Pagrus auratus,2012,0
1,Pagrus auratus,2011,0.5
